1G7NcBZvYBfCNRW8Ww0nT3NlnnWtNAKuB   z8SrvZ4eyqV_2_room0.zip                    bin    2.9 MB     2023-03-19 00:52:23
1lO4WdBix0rEcbFSOCTHxGPG_weoszlY0   z8SrvZ4eyqV_0_room0.zip                    bin    4.4 MB     2023-03-19 00:52:21
1Axf0TCA7nHrf5NPf1yZMkw2yBhAhe-Ex   yogvKWUrdnw_3_room0.zip                    bin    4.2 MB     2023-03-19 00:52:19
1lZz7LSvQ6yoo9f2XcmkKqkx7sXE30raY   yogvKWUrdnw_1_room0.zip                    bin    3.5 MB     2023-03-19 00:52:16
1GZP2GdkfM26HATIwX8bQmt-3jPOz-u8Q   yQESfVcg18k_2_room0.zip                    bin    2.9 MB     2023-03-19 00:52:14
16Nu_kjjLr9vDDx1wZp0T4xnvNUnwioTR   wcJYziD5pmF_3_room0.zip                    bin    3.2 MB     2023-03-19 00:52:12
13uUmC21WuPKBs4YQn07G1lF2o0Ir6t5I   wcJYziD5pmF_0_room0.zip                    bin    2.9 MB     2023-03-19 00:52:09
1dxDW3bRB3x_EHuTzcTUUF8OVe47luGbW   w7QyjJ3H9Bp_0_room0.zip                    bin    2.6 MB     2023-03-19 00:52:07
1aMqjZ2SlZ7HbMy9RFbGO3Nbo6H41B4Gi   sfbj7jspYWj_4_room0.zip                    bin    3.8 MB     2023-03-19 00:52:05
1KJHt373wF793gO0tgWBOMSzz7I498vqH   scene_list__hm3d_mv..._training_set.json   bin    119.2 KB   2023-03-19 00:52:02
1c3EvICKluEwErjY08XWp7odKIT5c5Kh2   r38SGhq8aJr_0_room0.zip                    bin    3.4 MB     2023-03-19 00:52:00
1iibibPREJzn-awZ6LAf7ZSriS-K285YW   qz3829g1Lzf_0_room0.zip                    bin    4.8 MB     2023-03-19 00:51:58
1PDiPfXPmo7GNGmdxCGPJRXo8lkilfoXa   qk9eeNeR4vw_2_room0.zip                    bin    2.6 MB     2023-03-19 00:51:56
1MgYS0IE5uDhSO4bSQ6dygxpywIAPVm4M   qk9eeNeR4vw_0_room0.zip                    bin    3.4 MB     2023-03-19 00:51:54
